exam_category,exam_type,quiz_id,en_quiz_title,most_vote,correct,en_A,en_B,en_C,en_D,en_E,en_F,ko_quiz_title,ko_A,ko_B,ko_C,ko_D,ko_E,subject,choice_count,ko_F
udemy,CLF-01,95,A photo sharing web application wants to store thumbnails of user-uploaded images on Amazon Simple Storage Service (Amazon S3). The thumbnails are rarely used but need to be immediately accessible from the web application. The thumbnails can be regenerated easily if they are lost. Which is the most cost-effective way to store these thumbnails on Amazon Simple Storage Service (Amazon S3)?,D,D,Use Amazon S3 Standard-Infrequent Access (S3 Standard-IA) to store the thumbnails,Use Amazon S3 Standard to store the thumbnails,Use Amazon S3 Glacier Flexible Retrieval to store the thumbnails,Use Amazon S3 One Zone-Infrequent Access (S3 One Zone-IA) to store the thumbnails,,,사진 공유 웹 애플리케이션은 사용자가 업로드한 이미지의 썸네일을 Amazon Simple Storage Service(Amazon S3)에 저장하려고 합니다. 썸네일은 거의 사용되지 않지만 웹 애플리케이션에서 즉시 액세스할 수 있어야 합니다. 썸네일은 손실된 경우 쉽게 재생성할 수 있습니다. Amazon Simple Storage Service(Amazon S3)에 이러한 썸네일을 저장하는 가장 비용 효율적인 방법은 무엇입니까?,Amazon S3 Standard-Infrequent Access(S3 Standard-IA)를 사용하여 썸네일 저장,Amazon S3 Standard를 사용하여 썸네일 저장,Amazon S3 Glacier Flexible Retrieval을 사용하여 썸네일 저장,Amazon S3 One Zone-Infrequent Access(S3 One Zone-IA)를 사용하여 썸네일 저장,,0,,
udemy,CLF-01,96,"Which tool will help you review your workloads against current AWS best practices for cost optimization, security, and performance improvement and then obtain advice to architect them better?",D,D,Amazon Inspector,Amazon CloudWatch,AWS Cost Explorer,AWS Trusted Advisor,,,"비용 최적화, 보안 및 성능 개선을 위한 현재 AWS 모범 사례와 비교하여 워크로드를 검토하고 이를 더 잘 설계하기 위한 조언을 얻는 데 도움이 되는 도구는 무엇입니까?",아마존 인스펙터,아마존 클라우드워치,AWS 비용 탐색기,AWS 신뢰할 수 있는 조언자,,0,,
udemy,CLF-01,97,Which of the following statements are correct about the AWS root user account? (Select two),AC,AC,It is highly recommended to enable Multi-Factor Authentication (MFA) for root user account,"Root user account gets unrestricted permissions when the account is created, but these can be restricted using IAM policies",Root user access credentials are the email address and password used to create the AWS account,Root user account password cannot be changed once it is set,Root user credentials should only be shared with managers requiring administrative responsibilities to complete their jobs,,AWS 루트 사용자 계정에 대한 다음 설명 중 올바른 것은 무엇입니까? (2개 선택),루트 사용자 계정에 대해 Multi-Factor Authentication(MFA)을 활성화하는 것이 좋습니다.,루트 사용자 계정은 계정 생성 시 무제한 권한을 가지지만 IAM 정책을 사용하여 제한할 수 있습니다.,루트 사용자 액세스 자격 증명은 AWS 계정을 생성하는 데 사용되는 이메일 주소와 암호입니다.,루트 사용자 계정 암호는 일단 설정되면 변경할 수 없습니다.,루트 사용자 자격 증명은 작업을 완료하기 위해 관리 책임이 필요한 관리자와만 공유해야 합니다.,0,,
udemy,CLF-01,98,"According to the AWS Shared Responsibility Model, which of the following are responsibilities of the customer for Amazon RDS?",B,B,Managing the underlying server hardware on which Amazon Relational Database Service (Amazon RDS) runs,Database encryption,Applying patches to the Amazon Relational Database Service (Amazon RDS) database,Applying patches to the underlying OS,,,AWS 공동 책임 모델에 따르면 다음 중 Amazon RDS에 대한 고객의 책임은 무엇입니까?,Amazon Relational Database Service(Amazon RDS)가 실행되는 기본 서버 하드웨어 관리,데이터베이스 암호화,Amazon Relational Database Service(Amazon RDS) 데이터베이스에 패치 적용,기본 OS에 패치 적용,,0,,
udemy,CLF-01,99,Which of the following statements are true about AWS Lambda? (Select two),CE,CE,AWS Lambda provides access to the underlying operating system to control its behavior through code,AWS Lambda allows you to orchestrate and manage Docker containers to facilitate complex containerized applications on AWS,AWS Lambda lets you run code without provisioning or managing servers,AWS Lambda allows you to install databases on the underlying serverless Operating System,You pay for the compute time you consume for AWS Lambda,,다음 중 AWS Lambda에 대한 설명으로 옳은 것은 무엇입니까? (2개 선택),AWS Lambda는 기본 운영 체제에 대한 액세스를 제공하여 코드를 통해 동작을 제어합니다.,AWS Lambda를 사용하면 Docker 컨테이너를 오케스트레이션하고 관리하여 AWS에서 컨테이너화된 복잡한 애플리케이션을 용이하게 할 수 있습니다.,AWS Lambda를 사용하면 서버를 프로비저닝하거나 관리하지 않고도 코드를 실행할 수 있습니다.,AWS Lambda를 사용하면 기본 서버리스 운영 체제에 데이터베이스를 설치할 수 있습니다.,AWS Lambda에 사용한 컴퓨팅 시간에 대해 비용을 지불합니다.,0,,
udemy,CLF-01,100,"A company's flagship application runs on a fleet of Amazon Elastic Compute Cloud (Amazon EC2) instances. As per the new policies, the system administrators are looking for the best way to provide secure shell access to Amazon Elastic Compute Cloud (Amazon EC2) instances without opening new ports or using public IP addresses.Which tool/service will help you achieve this requirement?",C,C,Amazon Inspector,Amazon Elastic Compute Cloud (Amazon EC2) Instance Connect,AWS Systems Manager Session Manager,Amazon Route 53,,,회사의 대표 애플리케이션이 Amazon Elastic Compute Cloud(Amazon EC2) 인스턴스에서 실행됩니다. 새로운 정책에 따라 시스템 관리자는 새 포트를 열거나 퍼블릭 IP 주소를 사용하지 않고 Amazon Elastic Compute Cloud(Amazon EC2) 인스턴스에 대한 보안 셸 액세스를 제공하는 가장 좋은 방법을 찾고 있습니다.이 요구 사항을 달성하는 데 도움이 되는 도구/서비스는 무엇입니까?,아마존 인스펙터,Amazon Elastic Compute Cloud(Amazon EC2) 인스턴스 연결,AWS 시스템 관리자 세션 관리자,아마존 루트 53,,0,,
udemy,CLF-01,101,A company is using a message broker service on its on-premises application and wants to move this messaging functionality to AWS Cloud. Which of the following AWS services is the right choice to move the existing functionality easily?,C,C,Amazon Kinesis Data Streams,Amazon Simple Notification Service (Amazon SNS),Amazon MQ,Amazon Simple Queue Service (Amazon SQS),,,회사는 온프레미스 애플리케이션에서 메시지 브로커 서비스를 사용하고 있으며 이 메시징 기능을 AWS 클라우드로 이전하려고 합니다. 다음 AWS 서비스 중 기존 기능을 쉽게 이동할 수 있는 올바른 선택은 무엇입니까?,Amazon Kinesis 데이터 스트림,Amazon Simple Notification Service(Amazon SNS),아마존 MQ,Amazon 단순 대기열 서비스(Amazon SQS),,0,,
udemy,CLF-01,102,Access Key ID and Secret Access Key are tied to which of the following AWS Identity and Access Management (AWS IAM) entities?,D,D,IAM Role,IAM Policy,IAM User Group,IAM User,,,액세스 키 ID 및 보안 액세스 키는 다음 AWS Identity and Access Management(AWS IAM) 엔터티와 연결되어 있습니까?,IAM 역할,IAM 정책,IAM 사용자 그룹,IAM 사용자,,0,,
udemy,CLF-01,103,Which AWS service helps with global application availability and performance using the AWS global network?,A,A,AWS Global Accelerator,Amazon Route 53,Elastic Load Balancing (ELB),Amazon CloudFront,,,AWS 글로벌 네트워크를 사용하여 글로벌 애플리케이션 가용성 및 성능에 도움이 되는 AWS 서비스는 무엇입니까?,AWS 글로벌 액셀러레이터,아마존 루트 53,탄력적 로드 밸런싱(ELB),아마존 클라우드프론트,,0,,
udemy,CLF-01,104,Which Amazon Route 53 routing policy would you use to improve the performance for your customers by routing the requests to the AWS endpoint that provides the fastest experience?,A,A,Latency-based routing,Simple routing,Failover routing,Weighted routing,,,가장 빠른 경험을 제공하는 AWS 엔드포인트로 요청을 라우팅하여 고객의 성능을 개선하기 위해 어떤 Amazon Route 53 라우팅 정책을 사용해야 합니까?,대기 시간 기반 라우팅,단순 라우팅,장애 조치 라우팅,가중 라우팅,,0,,
udemy,CLF-01,105,Which of the following AWS services is essential for implementing security of resources in AWS Cloud?,A,A,AWS Identity and Access Management (IAM),Amazon CloudWatch,AWS Shield,AWS Web Application Firewall (AWS WAF),,,다음 중 AWS 클라우드에서 리소스 보안을 구현하는 데 필수적인 AWS 서비스는 무엇입니까?,AWS 자격 증명 및 액세스 관리(IAM),아마존 클라우드워치,AWS 실드,AWS 웹 애플리케이션 방화벽(AWS WAF),,0,,
udemy,CLF-01,106,A gaming company is looking at a technology/service that can deliver a consistent low-latency gameplay to ensure a great user experience for end-users in various locations.Which AWS technology/service will provide the necessary low-latency access to the end-users?,A,A,AWS Local Zones,AWS Wavelength,AWS Edge Locations,AWS Direct Connect,,,게임 회사는 다양한 위치의 최종 사용자에게 훌륭한 사용자 경험을 보장하기 위해 지연 시간이 짧은 게임 플레이를 일관되게 제공할 수 있는 기술/서비스를 찾고 있습니다.최종 사용자에게 필요한 짧은 지연 시간 액세스를 제공하는 AWS 기술/서비스는 무엇입니까?,AWS 로컬 영역,AWS 파장,AWS 엣지 로케이션,AWS 다이렉트 커넥트,,0,,
udemy,CLF-01,107,What foundational capability under the operations perspective is part of the AWS Cloud Adoption Framework (AWS CAF)?,B,B,Application portfolio management,Performance and capacity management,Platfrom engineering,Vulnerability management,,,운영 관점에서 AWS CAF(AWS Cloud Adoption Framework)의 일부인 기본 기능은 무엇입니까?,애플리케이션 포트폴리오 관리,성능 및 용량 관리,플랫폼 엔지니어링,취약점 관리,,0,,
udemy,CLF-01,108,Which AWS service would you use to send alerts when the costs for your AWS account exceed your budgeted amount?,B,B,AWS Cost Explorer,AWS Budgets,AWS Pricing Calculator,AWS Organizations,,,AWS 계정 비용이 예산 금액을 초과할 때 알림을 보내기 위해 어떤 AWS 서비스를 사용하시겠습니까?,AWS 비용 탐색기,AWS 예산,AWS 요금 계산기,AWS 조직,,0,,
udemy,CLF-01,109,"An IT company wants to run a log backup process every Monday at 2 AM. The usual runtime of the process is 5 minutes. As a Cloud Practitioner, which AWS services would you recommend to build a serverless solution for this use-case? (Select two)",AC,AC,Amazon CloudWatch,AWS Systems Manager,AWS Lambda,Amazon Elastic Compute Cloud (Amazon EC2),AWS Step Function,,IT 회사에서 매주 월요일 오전 2시에 로그 백업 프로세스를 실행하려고 합니다. 프로세스의 일반적인 실행 시간은 5분입니다. 클라우드 실무자로서 이 사용 사례를 위한 서버리스 솔루션을 구축하기 위해 어떤 AWS 서비스를 추천하시겠습니까? (2개 선택),아마존 클라우드워치,AWS 시스템 관리자,AWS 람다,아마존 엘라스틱 컴퓨트 클라우드(아마존 EC2),AWS 단계 함수,0,,
udemy,CLF-01,110,Which AWS technology/service helps you to scale your resources to match supply with demand while still keeping your cloud solution cost-effective?,B,B,AWS Cost Explorer,AWS Auto Scaling,AWS OpsWorks,AWS CloudFormation,,,클라우드 솔루션을 비용 효율적으로 유지하면서 수요에 맞춰 리소스를 확장하는 데 도움이 되는 AWS 기술/서비스는 무엇입니까?,AWS 비용 탐색기,AWS 자동 확장,AWS 옵스웍스,AWS 클라우드포메이션,,0,,
udemy,CLF-01,111,Which characteristic of Cloud Computing imparts the ability to acquire resources as you need and release when you no longer need them?,B,B,Resiliency,Elasticity,Reliability,Durability,,,필요할 때 리소스를 확보하고 더 이상 필요하지 않을 때 해제할 수 있는 기능을 제공하는 클라우드 컴퓨팅의 특성은 무엇입니까?,탄력성,탄력,신뢰할 수 있음,내구성,,0,,
udemy,CLF-01,112,"Due to regulatory and compliance reasons, an organization is supposed to use a hardware device for any data encryption operations in the cloud. Which AWS service can be used to meet this compliance requirement?",A,A,AWS CloudHSM,AWS Key Management Service (AWS KMS),AWS Secrets Manager,AWS Trusted Advisor,,,규정 및 규정 준수 이유로 인해 조직은 클라우드의 모든 데이터 암호화 작업에 하드웨어 장치를 사용해야 합니다. 이 규정 준수 요구 사항을 충족하는 데 사용할 수 있는 AWS 서비스는 무엇입니까?,AWS CloudHSM,AWS 키 관리 서비스(AWS KMS),AWS 비밀 관리자,AWS 신뢰할 수 있는 조언자,,0,,
udemy,CLF-01,113,"As per the AWS Shared Responsibility Model, which of the following is a responsibility of the customer from a security and compliance point of view?",C,C,Availability Zone (AZ) infrastructure management,Patching/fixing flaws within the AWS infrastructure,Managing patches of the guest operating system on Amazon Elastic Compute Cloud (Amazon EC2),Configuration management for AWS global infrastructure,,,AWS 공유 책임 모델에 따라 다음 중 보안 및 규정 준수 관점에서 고객의 책임은 무엇입니까?,가용성 영역(AZ) 인프라 관리,AWS 인프라 내 결함 패치/수정,Amazon Elastic Compute Cloud(Amazon EC2)에서 게스트 운영 체제의 패치 관리,AWS 글로벌 인프라를 위한 구성 관리,,0,,
udemy,CLF-01,114,"Which AWS service should be used when you want to run container applications, but want to avoid the operational overhead of scaling, patching, securing, and managing servers?",D,D,Amazon Elastic Compute Cloud (Amazon EC2),AWS Lambda,Amazon Elastic Container Service (Amazon ECS) - EC2 launch type,Amazon Elastic Container Service (Amazon ECS) - Fargate launch type,,,"컨테이너 애플리케이션을 실행하고 싶지만 서버 확장, 패치 적용, 보안 및 관리의 운영 오버헤드를 피하고 싶을 때 사용해야 하는 AWS 서비스는 무엇입니까?",아마존 엘라스틱 컴퓨트 클라우드(아마존 EC2),AWS 람다,Amazon Elastic Container Service(Amazon ECS) - EC2 시작 유형,Amazon Elastic Container Service(Amazon ECS) - Fargate 시작 유형,,0,,
udemy,CLF-01,115,"Which AWS service can be used to store, manage, and deploy Docker container images?",D,D,Amazon Elastic Compute Cloud (Amazon EC2),AWS Lambda,Amazon Elastic Container Service (Amazon ECS),Amazon Elastic Container Registry (Amazon ECR),,,"Docker 컨테이너 이미지를 저장, 관리 및 배포하는 데 사용할 수 있는 AWS 서비스는 무엇입니까?",아마존 엘라스틱 컴퓨트 클라우드(아마존 EC2),AWS 람다,Amazon Elastic Container Service(Amazon ECS),Amazon Elastic Container Registry(Amazon ECR),,0,,
udemy,CLF-01,116,Which AWS compute service provides the EASIEST way to access resizable compute capacity in the cloud with support for per-second billing and access to the underlying OS?,A,A,Amazon Elastic Compute Cloud (Amazon EC2),Amazon Lightsail,AWS Lambda,Amazon Elastic Container Service (Amazon ECS),,,기본 OS에 대한 초당 청구 및 액세스를 지원하여 클라우드에서 크기 조정 가능한 컴퓨팅 용량에 액세스하는 가장 쉬운 방법을 제공하는 AWS 컴퓨팅 서비스는 무엇입니까?,아마존 엘라스틱 컴퓨트 클라우드(아마존 EC2),아마존 라이트세일,AWS 람다,Amazon Elastic Container Service(Amazon ECS),,0,,
udemy,CLF-01,117,Which of the following solutions can you use to connect your on-premises network with AWS Cloud (Select two)?,BC,BC,Internet Gateway,AWS Direct Connect,AWS Virtual Private Network (VPN),Amazon Route 53,Amazon Virtual Private Cloud (Amazon VPC),,다음 중 온프레미스 네트워크를 AWS 클라우드와 연결하는 데 사용할 수 있는 솔루션은 무엇입니까(2개 선택)?,인터넷 게이트웨이,AWS 다이렉트 커넥트,AWS 가상 사설망(VPN),아마존 루트 53,Amazon 가상 사설 클라우드(Amazon VPC),0,,
udemy,CLF-01,118,Which of the following are examples of Horizontal Scalability (aka Elasticity)? (Select two),CE,CE,Modify an EC2 instance type from t2.nano to u-12tb1.metal,Modify a Database instance to higher CPU and RAM,Read Replicas in Amazon Relational Database Service (Amazon RDS),Add a bigger CPU to a computer,Elastic Load Balancing (ELB),,다음 중 수평적 확장성(일명 탄력성)의 예는 무엇입니까? (2개 선택),EC2 인스턴스 유형을 t2.nano에서 u-12tb1.metal로 수정,데이터베이스 인스턴스를 더 높은 CPU 및 RAM으로 수정,Amazon Relational Database Service(Amazon RDS)의 읽기 전용 복제본,컴퓨터에 더 큰 CPU 추가,탄력적 로드 밸런싱(ELB),0,,
udemy,CLF-01,119,An e-commerce company wants to assess its applications deployed on Amazon Elastic Compute Cloud (Amazon EC2) instances for vulnerabilities and deviations from AWS best practices. Which AWS service can be used to facilitate this?,C,C,AWS CloudHSM,AWS Trusted Advisor,Amazon Inspector,AWS Secrets Manager,,,전자 상거래 회사는 Amazon Elastic Compute Cloud(Amazon EC2) 인스턴스에 배포된 자사 애플리케이션의 취약성 및 AWS 모범 사례와의 편차를 평가하려고 합니다. 이를 촉진하기 위해 어떤 AWS 서비스를 사용할 수 있습니까?,AWS CloudHSM,AWS 신뢰할 수 있는 조언자,아마존 인스펙터,AWS 비밀 관리자,,0,,
udemy,CLF-01,120,"A company wants a fully managed, flexible, and scalable file storage system, with low latency access, for its Windows-based applications. Which AWS service is the right choice for the company?",C,C,Amazon Elastic File System (Amazon EFS),Amazon FSx for Lustre,Amazon FSx for Windows File Server,Amazon Elastic Block Storage (Amazon EBS),,,회사는 Windows 기반 응용 프로그램을 위해 액세스 대기 시간이 짧은 완벽하게 관리되고 유연하며 확장 가능한 파일 스토리지 시스템을 원합니다. 회사에 적합한 AWS 서비스는 무엇입니까?,Amazon 탄력적 파일 시스템(Amazon EFS),Lustre용 Amazon FSx,Windows 파일 서버용 Amazon FSx,Amazon 탄력적 블록 스토리지(Amazon EBS),,0,,
udemy,CLF-01,121,Which of the following options can be used to access and manage all AWS services (Select three)?,ADE,ADE,AWS Command Line Interface (AWS CLI),Amazon API Gateway,AWS Systems Manager,AWS Management Console,AWS Software Development Kit (SDK),AWS Secrets Manager,다음 중 모든 AWS 서비스에 액세스하고 관리하는 데 사용할 수 있는 옵션은 무엇입니까(3개 선택)?,AWS 명령줄 인터페이스(AWS CLI),아마존 API 게이트웨이,AWS 시스템 관리자,AWS 관리 콘솔,AWS 소프트웨어 개발 키트(SDK),0,,AWS 비밀 관리자
udemy,CLF-01,122,Which of the following statements is INCORRECT about AWS Auto Scaling?,A,A,You can automatically deploy AWS Shield when a DDoS attack is detected,You can automatically remove unhealthy instances,You can automatically register new instances to a load balancer,You can scale out and add more Amazon Elastic Compute Cloud (Amazon EC2) instances to match an increase in demand as well as scale in and remove Amazon Elastic Compute Cloud (Amazon EC2) instances to match a reduced demand,,,다음 중 AWS Auto Scaling에 대한 설명이 올바르지 않은 것은 무엇입니까?,DDoS 공격이 감지되면 자동으로 AWS Shield를 배포할 수 있습니다.,비정상 인스턴스를 자동으로 제거할 수 있습니다.,로드 밸런서에 새 인스턴스를 자동으로 등록할 수 있습니다.,수요 증가에 맞춰 Amazon Elastic Compute Cloud(Amazon EC2) 인스턴스를 확장 및 추가할 수 있을 뿐만 아니라 감소된 수요에 맞춰 Amazon Elastic Compute Cloud(Amazon EC2) 인스턴스를 축소 및 제거할 수 있습니다.,,0,,
udemy,CLF-01,123,Which of the following is the correct statement regarding the AWS Storage services?,C,C,"Amazon Simple Storage Service (Amazon S3) is block based storage, Amazon Elastic Block Store (Amazon EBS) is object based storage and Amazon Elastic File System (Amazon EFS) is file based storage","Amazon Simple Storage Service (Amazon S3) is object based storage, Amazon Elastic Block Store (Amazon EBS) is file based storage and Amazon Elastic File System (Amazon EFS) is block based storage","Amazon Simple Storage Service (Amazon S3) is object based storage, Amazon Elastic Block Store (Amazon EBS) is block based storage and Amazon Elastic File System (Amazon EFS) is file based storage","Amazon Simple Storage Service (Amazon S3) is file based storage, Amazon Elastic Block Store (Amazon EBS) is block based storage and Amazon Elastic File System (Amazon EFS) is object based storage",,,다음 중 AWS 스토리지 서비스에 대한 올바른 설명은 무엇입니까?,"Amazon Simple Storage Service(Amazon S3)는 블록 기반 스토리지, Amazon Elastic Block Store(Amazon EBS)는 객체 기반 스토리지, Amazon Elastic File System(Amazon EFS)은 파일 기반 스토리지입니다.","Amazon Simple Storage Service(Amazon S3)는 객체 기반 스토리지, Amazon Elastic Block Store(Amazon EBS)는 파일 기반 스토리지, Amazon Elastic File System(Amazon EFS)은 블록 기반 스토리지입니다.","Amazon Simple Storage Service(Amazon S3)는 객체 기반 스토리지, Amazon Elastic Block Store(Amazon EBS)는 블록 기반 스토리지, Amazon Elastic File System(Amazon EFS)은 파일 기반 스토리지입니다.","Amazon Simple Storage Service(Amazon S3)는 파일 기반 스토리지, Amazon Elastic Block Store(Amazon EBS)는 블록 기반 스토리지, Amazon Elastic File System(Amazon EFS)은 객체 기반 스토리지입니다.",,0,,
udemy,CLF-01,124,A customer has created a VPC and a subnet within AWS Cloud. Which of the following statements is correct?,C,C,A subnet spans all of the Availability Zones (AZ) in the Region whereas an Amazon Virtual Private Cloud (Amazon VPC) spans only one Availability Zone (AZ) in the Region,Both the Amazon Virtual Private Cloud (Amazon VPC) and the subnet span all of the Availability Zones (AZ) in the Region,An Amazon Virtual Private Cloud (Amazon VPC) spans all of the Availability Zones (AZ) in the Region whereas a subnet spans only one Availability Zone (AZ) in the Region,Both the Amazon Virtual Private Cloud (Amazon VPC) and the subnet span only one Availability Zone (AZ) in the Region,,,고객이 AWS Cloud 내에 VPC와 서브넷을 생성했습니다. 다음 중 올바른 설명은 무엇입니까?,서브넷은 리전의 모든 가용 영역(AZ)에 걸쳐 있는 반면 Amazon Virtual Private Cloud(Amazon VPC)는 리전에서 단 하나의 가용 영역(AZ)에 걸쳐 있습니다.,Amazon Virtual Private Cloud(Amazon VPC)와 서브넷 모두 리전의 모든 가용 영역(AZ)에 걸쳐 있습니다.,Amazon Virtual Private Cloud(Amazon VPC)는 리전의 모든 가용 영역(AZ)에 걸쳐 있지만 서브넷은 리전에서 단 하나의 가용 영역(AZ)에 걸쳐 있습니다.,Amazon Virtual Private Cloud(Amazon VPC)와 서브넷 모두 리전에서 하나의 가용 영역(AZ)에만 걸쳐 있습니다.,,0,,
udemy,CLF-01,125,Which AWS service can be used to provision resources to run big data workloads on Hadoop clusters?,D,D,AWS Step Functions,AWS Batch,Amazon Elastic Compute Cloud (Amazon EC2),Amazon EMR,,,Hadoop 클러스터에서 빅 데이터 워크로드를 실행하기 위해 리소스를 프로비저닝하는 데 사용할 수 있는 AWS 서비스는 무엇입니까?,AWS 단계 기능,AWS 배치,아마존 엘라스틱 컴퓨트 클라우드(아마존 EC2),아마존 EMR,,0,,
udemy,CLF-01,126,Which of the following AWS services can be used to prevent Distributed Denial-of-Service (DDoS) attack? (Select three),ACF,ACF,AWS Web Application Firewall (AWS WAF),AWS CloudHSM,AWS Shield,Amazon Inspector,AWS Trusted Advisor,Amazon CloudFront with Amazon Route 53,다음 중 DDoS(분산 서비스 거부) 공격을 방지하는 데 사용할 수 있는 AWS 서비스는 무엇입니까? (3개 선택),AWS 웹 애플리케이션 방화벽(AWS WAF),AWS CloudHSM,AWS 실드,아마존 인스펙터,AWS 신뢰할 수 있는 조언자,0,,Amazon Route 53을 사용하는 Amazon CloudFront
udemy,CLF-01,127,An online gaming company wants to block users from certain geographies from accessing its content. Which AWS service can be used to accomplish this task?,A,A,AWS Web Application Firewall (AWS WAF),AWS Shield,Security group,Amazon CloudWatch,,,온라인 게임 회사에서 특정 지역의 사용자가 콘텐츠에 액세스하지 못하도록 차단하려고 합니다. 이 작업을 수행하는 데 사용할 수 있는 AWS 서비스는 무엇입니까?,AWS 웹 애플리케이션 방화벽(AWS WAF),AWS 실드,보안 그룹,아마존 클라우드워치,,0,,
udemy,CLF-01,128,Which AWS support plan provides access to a designated Technical Account Manager (TAM)?,A,A,AWS Enterprise Support,AWS Developer Support,AWS Business Support,AWS Enterprise On-Ramp Support,,,지정된 TAM(Technical Account Manager)에 대한 액세스를 제공하는 AWS 지원 플랜은 무엇입니까?,AWS 엔터프라이즈 지원,AWS 개발자 지원,AWS 비즈니스 지원,AWS 엔터프라이즈 온램프 지원,,0,,
udemy,CLF-01,129,"The engineering team at an IT company wants to monitor the CPU utilization for its fleet of Amazon Elastic Compute Cloud (Amazon EC2) instances and send an email to the administrator if the utilization exceeds 80%. As a Cloud Practitioner, which AWS services would you recommend to build this solution? (Select two)",BC,BC,AWS CloudTrail,Amazon Simple Notification Service (SNS),Amazon CloudWatch,AWS Lambda,Amazon Simple Queue Service (SQS),,IT 회사의 엔지니어링 팀은 Amazon Elastic Compute Cloud(Amazon EC2) 인스턴스 플릿의 CPU 사용률을 모니터링하고 사용률이 80%를 초과하면 관리자에게 이메일을 보내려고 합니다. 클라우드 실무자로서 이 솔루션을 구축하기 위해 어떤 AWS 서비스를 추천하시겠습니까? (2개 선택),AWS CloudTrail,Amazon 단순 알림 서비스(SNS),아마존 클라우드워치,AWS 람다,Amazon 단순 대기열 서비스(SQS),0,,
udemy,CLF-01,130,What are the different gateway types supported by AWS Storage Gateway service?,C,C,"Tape Gateway, File Gateway and Block Gateway","Object Gateway, File Gateway and Block Gateway","Tape Gateway, File Gateway and Volume Gateway","Tape Gateway, Object Gateway and Volume Gateway",,,AWS Storage Gateway 서비스에서 지원하는 다양한 게이트웨이 유형은 무엇입니까?,"테이프 게이트웨이, 파일 게이트웨이 및 블록 게이트웨이","객체 게이트웨이, 파일 게이트웨이 및 블록 게이트웨이","테이프 게이트웨이, 파일 게이트웨이 및 볼륨 게이트웨이","테이프 게이트웨이, 개체 게이트웨이 및 볼륨 게이트웨이",,0,,
udemy,CLF-01,131,Which budget types can be created under AWS Budgets (Select three)?,ABD,ABD,Usage budget,Reservation budget,Resource budget,Cost budget,Hardware budget,Software budget,AWS 예산(3개 선택)에서 생성할 수 있는 예산 유형은 무엇입니까?,사용예산,예약예산,자원 예산,비용 예산,하드웨어 예산,0,,소프트웨어 예산
udemy,CLF-01,132,"A startup wants to set up its IT infrastructure on AWS Cloud. The CTO would like to receive detailed reports that break down the startup's AWS costs by the hour in an Amazon Simple Storage Service (Amazon S3) bucket. As a Cloud Practitioner, which AWS service would you recommend for this use-case?",C,C,AWS Pricing Calculator,AWS Cost Explorer,AWS Cost & Usage Report (AWS CUR),AWS Budgets,,,스타트업에서 AWS 클라우드에 IT 인프라를 설정하려고 합니다. CTO는 Amazon Simple Storage Service(Amazon S3) 버킷에서 스타트업의 AWS 비용을 시간별로 세분화한 자세한 보고서를 받고 싶어합니다. 클라우드 실무자로서 이 사용 사례에 대해 어떤 AWS 서비스를 추천하시겠습니까?,AWS 요금 계산기,AWS 비용 탐색기,AWS 비용 및 사용 보고서(AWS CUR),AWS 예산,,0,,
udemy,CLF-01,133,What is the primary benefit of deploying an Amazon Relational Database Service (Amazon RDS) database in a Read Replica configuration?,D,D,Read Replica reduces database usage costs,Read Replica protects the database from a regional failure,Read Replica enhances database availability,Read Replica improves database scalability,,,읽기 전용 복제본 구성에서 Amazon Relational Database Service(Amazon RDS) 데이터베이스를 배포할 때의 주요 이점은 무엇입니까?,읽기 전용 복제본으로 데이터베이스 사용 비용 절감,읽기 전용 복제본은 지역 장애로부터 데이터베이스를 보호합니다.,읽기 전용 복제본으로 데이터베이스 가용성 향상,읽기 전용 복제본으로 데이터베이스 확장성 향상,,0,,
udemy,CLF-01,134,Amazon CloudWatch billing metric data is stored in which AWS Region?,A,A,US East (N. Virginia) - us-east-1,In the AWS Region where the AWS resource is provisioned,In the AWS Region where the AWS account is created,US West (N. California) - us-west-1,,,Amazon CloudWatch 결제 지표 데이터가 저장되는 AWS 리전은 어디입니까?,미국 동부(버지니아 북부) - us-east-1,AWS 리소스가 프로비저닝된 AWS 리전에서,AWS 계정이 생성된 AWS 리전에서,미국 서부(캘리포니아 북부) - us-west-1,,0,,
udemy,CLF-01,135,Which AWS service can be used to execute code triggered by new files being uploaded to Amazon Simple Storage Service (Amazon S3)?,B,B,Amazon Elastic Container Service (Amazon ECS),AWS Lambda,Amazon Elastic Compute Cloud (Amazon EC2),Amazon Simple Queue Service (Amazon SQS),,,Amazon Simple Storage Service(Amazon S3)에 업로드되는 새 파일에 의해 트리거되는 코드를 실행하는 데 사용할 수 있는 AWS 서비스는 무엇입니까?,Amazon Elastic Container Service(Amazon ECS),AWS 람다,아마존 엘라스틱 컴퓨트 클라우드(아마존 EC2),Amazon 단순 대기열 서비스(Amazon SQS),,0,,
