exam_category,exam_type,quiz_id,en_quiz_title,most_vote,correct,en_A,en_B,en_C,en_D,en_E,en_F,en_G,en_H,en_I,ko_quiz_title,ko_A,ko_B,ko_C,ko_D,ko_E,subject,choice_count
examtopics,CLF-01,226,Which AWS services are serverless? (Choose two.),AD,AD,AWS Fargate,Amazon Managed Streaming for Apache Kafka,Amazon EMR,Amazon S3,Amazon EC2,,,,,서버리스는 어떤 AWS 서비스입니까? (2 개 선택.),AWS Fargate,Amazon은 Apache Kafka의 스트리밍을 관리했습니다,Amazon EMR,아마존 SAA,아마존 EC2,0,5
examtopics,CLF-01,227,"Which task is the responsibility of AWS, according to the AWS shared responsibility model?",C,C,Apply guest operating system patches to Amazon EC2 instances.,Provide monitoring of human resources information management (HRIM) systems.,Perform automated backups of Amazon RDS instances.,Optimize the costs of running AWS services.,,,,,,AWS 공유 책임 모델에 따르면 AWS의 책임은 무엇입니까?,게스트 운영 체제 패치를 Amazon EC2 인스턴스에 적용하십시오.,HRIM (Human Resources Information Management) 시스템의 모니터링을 제공합니다.,Amazon RDS 인스턴스의 자동 백업을 수행하십시오.,AWS 서비스 실행 비용을 최적화하십시오.,,0,4
examtopics,CLF-01,228,A company needs to deploy a PostgreSQL database into Amazon RDS. The database must be highly available and fault tolerant.Which AWS solution should the company use to meet these requirements?,C,C,Amazon RDS with a single Availability Zone,Amazon RDS snapshots,Amazon RDS with multiple Availability Zones,AWS Database Migration Service (AWS DMS),,,,,,회사는 PostgreSQL 데이터베이스를 Amazon RDS에 배포해야합니다. 데이터베이스는 고도로 이용 가능하고 결함이 있어야합니다. 회사가 이러한 요구 사항을 충족시키기 위해 어떤 AWS 솔루션을 사용해야합니까?,단일 가용성 영역이있는 Amazon RDS,아마존 RDS 스냅 샷,여러 가용성 영역이있는 Amazon RDS,AWS Database Migration Service (AWS DMS),,0,4
examtopics,CLF-01,229,A company wants to add facial identification to its user verification process on an application.Which AWS service should the company use to meet this requirement?,D,D,Amazon Polly,Amazon Transcribe,Amazon Lex,Amazon Rekognition,,,,,,회사는 응용 프로그램에서 사용자 확인 프로세스에 얼굴 식별을 추가하려고합니다. 회사 가이 요구 사항을 충족하기 위해 어떤 AWS 서비스를 사용해야합니까?,Amazon Polly,Amazon Transcribe,아마존 렉스,아마존 재 인식,,0,4
examtopics,CLF-01,230,A company wants the ability to quickly upload its applications to the AWS Cloud without needing to provision underlying resources.Which AWS service will meet these requirements?,B,B,AWS CloudFormation,AWS Elastic Beanstalk,AWS CodeDeploy,AWS CodeCommit,,,,,,회사는 기본 리소스를 제공하지 않고도 애플리케이션을 AWS 클라우드에 신속하게 업로드 할 수있는 기능을 원합니다. 어떤 AWS 서비스가 이러한 요구 사항을 충족합니까?,AWS CloudFormation,AWS Elastic Beanstalk,AWS CodeDeploy,AWS CodeCommit,,0,4
examtopics,CLF-01,231,Which AWS service monitors CPU utilization on Amazon EC2 instances?,D,D,AWS CloudTrail,Amazon Inspector,AWS Config,Amazon CloudWatch,,,,,,Amazon EC2 인스턴스에서 어떤 AWS 서비스가 CPU 활용을 모니터링합니까?,AWS CloudTrail,Amazon Inspector,AWS Config,Amazon CloudWatch,,1,4
examtopics,CLF-01,232,A company needs to label its AWS resources so that the company can categorize and track costs.What should the company do to meet this requirement?,A,A,Use cost allocation tags.,Use AWS Identity and Access Management (IAM).,Use AWS Organizations.,Use the AWS Cost Management coverage report.,,,,,,회사는 회사가 비용을 분류하고 추적 할 수 있도록 AWS 리소스를 표시해야합니다. 회사는이 요구 사항을 충족시키기 위해 무엇을해야합니까?,비용 할당 태그를 사용하십시오.,AWS ID 및 액세스 관리 (IAM)를 사용하십시오.,AWS 조직을 사용하십시오.,AWS 비용 관리 범위 보고서를 사용하십시오.,,0,4
examtopics,CLF-01,233,A company wants its employees to have access to virtual desktop infrastructure to securely access company-provided desktops through the employees' personal devices.Which AWS service should the company use to meet these requirements?,D,D,Amazon AppStream 2.0,AWS AppSync,Amazon FSx for Windows File Server,Amazon WorkSpaces,,,,,,회사는 직원의 개인 장치를 통해 회사가 제공 한 데스크톱에 안전하게 액세스하기 위해 직원들이 가상 데스크톱 인프라에 액세스 할 수 있기를 원합니다. 회사가 이러한 요구 사항을 충족하기 위해 어떤 AWS 서비스를 사용해야합니까?,Amazon Appstream 2.0,AWS AppSync,Windows 파일 서버 용 Amazon FSX,아마존 작업 공간,,0,4
examtopics,CLF-01,234,Which task can a company complete by using AWS Organizations?,D,D,Track application deployment statuses globally.,Remove unused and underutilized AWS resources across all accounts.,Activate DDoS protection across all accounts.,Share pre-purchased Amazon EC2 resources across accounts.,,,,,,AWS 조직을 사용하여 회사는 어떤 작업을 완료 할 수 있습니까?,전 세계적으로 애플리케이션 배포 상태를 추적합니다.,모든 계정에서 사용하지 않고 활용되지 않은 AWS 리소스를 제거하십시오.,모든 계정에서 DDOS 보호를 활성화하십시오.,계정에서 사전 구매 한 Amazon EC2 리소스를 공유하십시오.,,0,4
examtopics,CLF-01,235,A user has been granted permission to change their own IAM user password.Which AWS services can the user use to change the password? (Choose two.),AC,AC,AWS Command Line Interface (AWS CLI),AWS Key Management Service (AWS KMS),AWS Management Console,AWS Resource Access Manager (AWS RAM),AWS Secrets Manager,,,,,"사용자는 자신의 IAM 사용자 비밀번호를 변경할 수있는 권한을 부여 받았으며, 어떤 AWS 서비스가 암호를 변경하는 데 사용할 수 있습니까? (2 개 선택.)",AWS 명령 줄 인터페이스 (AWS CLI),AWS 키 관리 서비스 (AWS KMS),AWS Management Console,AWS 리소스 액세스 관리자 (AWS RAM),AWS 비밀 관리자,0,5
examtopics,CLF-01,236,A company needs to run an application on Amazon EC2 instances. The instances cannot be interrupted at any time. The company needs an instance purchasing option that requires no long-term commitment or upfront payment.Which instance purchasing option will meet these requirements MOST cost-effectively?,A,A,On-Demand Instances,Spot Instances,Dedicated Hosts,Reserved Instances,,,,,,회사는 Amazon EC2 인스턴스에서 응용 프로그램을 실행해야합니다. 인스턴스는 언제든지 중단 될 수 없습니다. 회사는 장기적인 약속이나 선불 결제가 필요하지 않은 인스턴스 구매 옵션이 필요합니다. 어떤 인스턴스 구매 옵션이 이러한 요구 사항을 가장 비용 효율적으로 충족시킬 수 있습니까?,주문형 인스턴스,스팟 인스턴스,전용 호스트,예약 된 인스턴스,,1,4
examtopics,CLF-01,237,A company uses Amazon EC2 instances to run its web application. The company uses On-Demand Instances and Spot Instances. The company needs to visualize its monthly spending on both types of instances.Which AWS service or feature will meet this requirement?,A,A,AWS Cost Explorer,AWS Budgets,Amazon CloudWatch,AWS Cost Categories,,,,,,회사는 Amazon EC2 인스턴스를 사용하여 웹 응용 프로그램을 실행합니다. 회사는 주문형 인스턴스 및 스팟 인스턴스를 사용합니다. 회사는 두 유형의 사례에 대한 월별 지출을 시각화해야합니다. 어떤 AWS 서비스 또는 기능 이이 요구 사항을 충족합니까?,AWS Cost Explorer,AWS Budgets,Amazon CloudWatch,AWS 비용 카테고리,,0,4
examtopics,CLF-01,238,Which task can a user complete by using AWS Identity and Access Management (IAM)?,D,D,Validate JSON syntax from an application configuration file.,Analyze logs from an Amazon API Gateway call.,Filter traffic to or from an Amazon EC2 instance.,Grant permissions to applications that run on Amazon EC2 instances.,,,,,,AWS ID 및 ACCESS Management (IAM)를 사용하여 사용자가 어떤 작업을 완료 할 수 있습니까?,애플리케이션 구성 파일에서 JSON 구문을 확인하십시오.,Amazon API 게이트웨이 호출에서 로그를 분석하십시오.,Amazon EC2 인스턴스로 트래픽을 필터링합니다.,Amazon EC2 인스턴스에서 실행되는 응용 프로그램에 대한 권한을 부여합니다.,,0,4
examtopics,CLF-01,239,A company needs to generate reports for business intelligence and operational analytics on petabytes of semistructured and structured data. These reports are produced from standard SQL queries on data that is in an Amazon S3 data lake.Which AWS service provides the ability to analyze this data?,D,D,Amazon RDS,Amazon Neptune,Amazon DynamoDB,Amazon Redshift,,,,,,회사는 반 구조화 및 구조화 된 데이터의 페타 바이트에 대한 비즈니스 인텔리전스 및 운영 분석에 대한 보고서를 생성해야합니다. 이 보고서는 Amazon S3 Data Lake에있는 데이터에 대한 표준 SQL 쿼리에서 생성됩니다. AWS 서비스는이 데이터를 분석 할 수있는 기능을 제공합니까?,Amazon RDS,Amazon Neptune,Amazon DynamoDB,Amazon Redshift,,0,4
examtopics,CLF-01,240,A system automatically recovers from failure when a company launches its workload on the AWS Cloud services platform.Which pillar of the AWS Well-Architected Framework does this situation demonstrate?,D,D,Cost optimization,Operational excellence,Performance efficiency,Reliability,,,,,,회사가 AWS Cloud Services 플랫폼에서 워크로드를 시작할 때 시스템은 자동으로 실패를 복구합니다. AWS가 잘 아키텍처 한 프레임 워크의 기둥은이 상황을 입증합니까?,비용 최적화,운영 효율성,성능 효율성,신뢰할 수 있음,,0,4
examtopics,CLF-01,241,Which of the following describes AWS Local Zones?,C,C,A cluster of data centers in one geographic location,A site used by Amazon CloudFront to cache frequently accessed content,An extension of an AWS Region to more granular locations,One or more data centers with redundant power and networking,,,,,,다음 중 AWS 로컬 영역을 설명하는 것은 무엇입니까?,하나의 지리적 위치에있는 데이터 센터 클러스터,Amazon Cloudfront가 캐시에 자주 액세스하는 콘텐츠에 사용하는 사이트,AWS 영역을 더 세분화 된 위치로 확장,중복 전력 및 네트워킹이있는 하나 이상의 데이터 센터,,0,4
examtopics,CLF-01,242,A retail company is migrating its IT infrastructure applications from on premises to the AWS Cloud.Which costs will the company eliminate with this migration? (Choose two.),ADE,AD,Cost of data center operations,Cost of application licensing,Cost of marketing campaigns,Cost of physical server hardware,Cost of network management,,,,,소매 회사는 IT 인프라 애플리케이션을 구내에서 AWS 클라우드로 마이그레이션하고 있습니다.이 마이그레이션으로 회사가 어떤 비용을 제거합니까? (2 개 선택.),데이터 센터 운영 비용,응용 프로그램 라이센스 비용,마케팅 캠페인 비용,물리적 서버 하드웨어 비용,네트워크 관리 비용,0,5
examtopics,CLF-01,243,What is a benefit of moving to the AWS Cloud in terms of improving time to market?,C,C,Decreased deployment speed,Increased application security,Increased business agility,Increased backup capabilities,,,,,,시장에 시간을 개선하는 측면에서 AWS 클라우드로 이동하면 어떤 이점이 있습니까?,배포 속도 감소,응용 프로그램 보안 증가,비즈니스 민첩성 증가,백업 기능 향상,,0,4
examtopics,CLF-01,244,Which of the following are characteristics of a serverless application that runs in the AWS Cloud? (Choose two.),CE,CE,Users must manually configure Amazon EC2 instances.,Users have a choice of operating systems.,The application has built-in fault tolerance.,Users can run Amazon EC2 Spot Instances.,The application can scale based on demand.,,,,,다음 중 AWS 클라우드에서 실행되는 서버리스 애플리케이션의 특성은 무엇입니까? (2 개 선택.),사용자는 Amazon EC2 인스턴스를 수동으로 구성해야합니다.,사용자는 운영 체제를 선택할 수 있습니다.,응용 프로그램에는 내장 내결함성이 내장되어 있습니다.,사용자는 Amazon EC2 스팟 인스턴스를 실행할 수 있습니다.,애플리케이션은 수요에 따라 확장 할 수 있습니다.,0,5
examtopics,CLF-01,245,"A company has existing software licenses that it wants to bring to AWS, but the licensing model requires licensing physical cores.How can the company meet this requirement in the AWS Cloud?",B,B,Launch an Amazon EC2 instance with default tenancy.,Launch an Amazon EC2 instance on a Dedicated Host.,Create an On-Demand Capacity Reservation.,Purchase Dedicated Reserved Instances.,,,,,,회사는 AWS에 가져 오려는 기존 소프트웨어 라이센스를 가지고 있지만 라이센스 모델에는 라이센스 물리적 코어가 필요합니다. 회사는 어떻게 AWS 클라우드 에서이 요구 사항을 충족 할 수 있습니까?,기본 테넌트가있는 Amazon EC2 인스턴스를 시작하십시오.,전용 호스트에서 Amazon EC2 인스턴스를 시작하십시오.,주문형 용량 예약을 만듭니다.,전용 예약 된 인스턴스를 구매하십시오.,,0,4
examtopics,CLF-01,246,"A company has a complex AWS architecture. The company needs assistance from a dedicated technical professional who can suggest strategies regarding incidents, trade-offs, support, and risk management.Which AWS Support plan will provide the required support?",B,A,AWS Business Support,AWS Enterprise Support,AWS Developer Support,AWS Basic Support,,,,,,"회사는 복잡한 AWS 아키텍처를 가지고 있습니다. 회사는 사건, 상충 관계, 지원 및 위험 관리에 관한 전략을 제안 할 수있는 전용 기술 전문가의 지원이 필요합니다. AWS 지원 계획은 필요한 지원을 제공 할 것인가?",AWS Business Support,AWS Enterprise Support,AWS Developer Support,AWS Basic Support,,0,4
examtopics,CLF-01,247,Which of the following is an advantage that the AWS Cloud provides to users?,A,A,Users eliminate the need to guess about infrastructure capacity requirements.,Users decrease their variable costs by maintaining sole ownership of IT hardware.,Users maintain control of underlying IT infrastructure hardware.,Users maintain control of operating systems for managed services.,,,,,,다음 중 AWS 클라우드가 사용자에게 제공하는 이점은 무엇입니까?,사용자는 인프라 용량 요구 사항에 대해 추측 할 필요가 없습니다.,사용자는 IT 하드웨어의 단독 소유권을 유지하여 가변 비용을 줄입니다.,사용자는 기본 IT 인프라 하드웨어 제어를 유지합니다.,사용자는 관리 서비스를위한 운영 체제 제어를 유지합니다.,,1,4
examtopics,CLF-01,248,Which AWS services can use AWS WAF to protect against common web exploitations? (Choose two.),BE,BE,Amazon Route 53,Amazon CloudFront,AWS Transfer Family,AWS Site-to-Site VPN,Amazon API Gateway,,,,,AWS WAF를 사용하여 공통 웹 착취로부터 보호 할 수있는 AWS 서비스는 무엇입니까? (2 개 선택.),Amazon Route 53,Amazon CloudFront,AWS 이적 가족,AWS 사이트 간 VPN,Amazon API Gateway,0,5
examtopics,CLF-01,249,Which controls are shared under the AWS shared responsibility model? (Choose two.),AC,AC,Awareness and training,Patching of Amazon RDS,Configuration management,Physical and environmental controls,Service and communications protection or security,,,,,AWS 공유 책임 모델에서 어떤 컨트롤이 공유됩니까? (2 개 선택.),인식과 훈련,아마존 RDS 패치,구성 관리,"물리적, 환경 적 통제",서비스 및 커뮤니케이션 보호 또는 보안,0,5
examtopics,CLF-01,250,A company manages global applications that require static IP addresses.Which AWS service would enable the company to improve the availability and performance of its applications?,B,B,Amazon CloudFront,AWS Global Accelerator,Amazon S3 Transfer Acceleration,Amazon API Gateway,,,,,,회사는 정적 IP 주소가 필요한 글로벌 애플리케이션을 관리합니다. AWS 서비스는 회사가 응용 프로그램의 가용성과 성능을 향상시킬 수있게합니까?,Amazon CloudFront,AWS 글로벌 가속기,아마존 S3 전송 가속도,Amazon API Gateway,,0,4
examtopics,CLF-01,251,Which of the following are AWS compute services? (Choose two.),AD,AD,Amazon Lightsail,AWS Systems Manager,AWS CloudFormation,AWS Batch,Amazon Inspector,,,,,다음 중 AWS Compute 서비스는 무엇입니까? (2 개 선택.),Amazon Lightsail,AWS 시스템 관리자,AWS CloudFormation,AWS Batch,Amazon Inspector,0,5
examtopics,CLF-01,252,A company needs to report on events that involve the specific AWS services that the company uses.Which AWS service or resource can the company use with Amazon CloudWatch to meet this requirement?,D,D,Amazon Inspector,AWS Personal Health Dashboard,AWS Trusted Advisor,AWS CloudTrail logs,,,,,,회사는 회사가 사용하는 특정 AWS 서비스와 관련된 이벤트에 대해보고해야합니다. 회사 가이 요구 사항을 충족시키기 위해 Amazon CloudWatch와 함께 사용할 수있는 AWS 서비스 또는 리소스는 무엇입니까?,Amazon Inspector,AWS 개인 건강 대시 보드,AWS Trusted Advisor,AWS CloudTrail 로그,,0,4
examtopics,CLF-01,253,A company with AWS Enterprise Support needs help understanding its monthly AWS bill and wants to implement billing best practices.Which AWS tool or resource is available to accomplish these goals?,B,B,Resource tagging,AWS Concierge Support team,AWS Abuse team,AWS Support,,,,,,AWS Enterprise 지원이 필요한 회사는 월간 AWS Bill을 이해하는 데 도움이되며 청구 모범 사례를 구현하려고합니다. 이러한 목표를 달성 할 수있는 AWS 도구 또는 리소스는 무엇입니까?,리소스 태깅,AWS 컨시어지 지원 팀,AWS 학대 팀,AWS 지원,,0,4
examtopics,CLF-01,254,Which of the following is an AWS key-value database offering consistent single-digit millisecond performance at any scale?,C,C,Amazon RDS,Amazon Aurora,Amazon DynamoDB,Amazon Redshift,,,,,,다음 중 AWS 키 값 데이터베이스는 어떤 규모로든 일관된 단일 자리 밀리 초 성능을 제공하는 것은 무엇입니까?,Amazon RDS,Amazon Aurora,Amazon DynamoDB,Amazon Redshift,,0,4
examtopics,CLF-01,255,A company is developing a new Node.js application. The application must have a scalable NoSQL database to meet increasing demand as the popularity of the application grows.Which AWS service will meet the requirements for the database?,C,C,Amazon Aurora Serverless,Amazon ElastiCache,Amazon DynamoDB,Amazon Redshift,,,,,,회사는 새로운 node.js 응용 프로그램을 개발하고 있습니다. 애플리케이션에는 응용 프로그램의 인기가 증가함에 따라 수요가 증가하기 위해서는 확장 가능한 NOSQL 데이터베이스가 있어야합니다. AWS 서비스는 데이터베이스의 요구 사항을 충족시킬 것입니까?,아마존 오로라 서버리스,Amazon ElastiCache,Amazon DynamoDB,Amazon Redshift,,0,4
examtopics,CLF-01,256,"A company wants to set up an entire development and continuous delivery toolchain for coding, building, testing, and deploying code.Which AWS service will meet these requirements?",B,B,Amazon CodeGuru,AWS CodeStar,AWS CodeCommit,AWS CodeDeploy,,,,,,"회사는 코드 코딩, 빌딩, 테스트 및 배포를위한 전체 개발 및 지속적인 전달 도구 체인을 설정하려고합니다. 어떤 AWS 서비스가 이러한 요구 사항을 충족합니까?",아마존 코드,AWS CodeStar,AWS CodeCommit,AWS CodeDeploy,,0,4
examtopics,CLF-01,257,Which service enables customers to audit API calls in their AWS accounts?,A,A,AWS CloudTrail,AWS Trusted Advisor,Amazon Inspector,AWS X-Ray,,,,,,고객이 AWS 계정에서 API 전화를 감사 할 수있는 서비스는 무엇입니까?,AWS CloudTrail,AWS Trusted Advisor,Amazon Inspector,AWS X-Ray,,0,4
examtopics,CLF-01,258,A company is moving its office and must establish an encrypted connection to AWS.Which AWS service will help meet this requirement?,A,A,AWS VPN,Amazon Route 53,Amazon API Gateway,Amazon Connect,,,,,,회사는 사무실을 옮기고 있으며 암호화 된 연결을 AWS.,AWS VPN,Amazon Route 53,Amazon API Gateway,아마존 연결,,0,4
examtopics,CLF-01,259,A company needs steady and predictable performance from its Amazon EC2 instances at the lowest possible cost. The company also needs the ability to scale resources to ensure that it has the right resources available at the right time.Which AWS service or resource will meet these requirements?,D,D,Amazon CloudWatch,Application Load Balancer,AWS Batch,Amazon EC2 Auto Scaling,,,,,,회사는 가능한 가장 낮은 비용으로 Amazon EC2 인스턴스에서 꾸준하고 예측 가능한 성능이 필요합니다. 또한 회사는 적절한시기에 적절한 리소스를 갖도록하기 위해 리소스를 확장 할 수있는 능력이 필요합니다. 어떤 AWS 서비스 또는 리소스가 이러한 요구 사항을 충족합니까?,Amazon CloudWatch,응용 프로그램로드 밸런서,AWS Batch,Amazon EC2 자동 스케일링,,1,4
examtopics,CLF-01,260,Which action will provide documentation to help a company evaluate whether its use of the AWS Cloud is compliant with local regulatory standards?,B,B,Running Amazon GuardDuty,Using AWS Artifact,Creating an AWS Support ticket,Evaluating AWS CloudTrail logs,,,,,,회사가 AWS 클라우드의 사용이 지역 규제 표준을 준수하는지 여부를 평가하는 데 도움이되는 문서를 제공 할 수있는 조치는 무엇입니까?,Amazon Guardduty를 실행합니다,AWS 아티팩트 사용,AWS 지원 티켓 생성,AWS CloudTrail 로그 평가,,0,4
examtopics,CLF-01,261,A company wants a cost-effective option when running its applications in an Amazon EC2 instance for short time periods. The applications can be interrupted.Which EC2 instance type will meet these requirements?,A,A,Spot Instances,On-Demand Instances,Reserved Instances,Dedicated Instances,,,,,,회사는 짧은 기간 동안 Amazon EC2 인스턴스에서 응용 프로그램을 실행할 때 비용 효율적인 옵션을 원합니다. 응용 프로그램을 중단 할 수 있습니다. 어떤 EC2 인스턴스 유형이 이러한 요구 사항을 충족합니까?,스팟 인스턴스,주문형 인스턴스,예약 된 인스턴스,전용 인스턴스,,0,4
examtopics,CLF-01,262,A retail company is building a new mobile app. The company is evaluating whether to build the app at an on-premises data center or in the AWS Cloud.Which of the following are benefits of building this app in the AWS Cloud? (Choose two.),BD,BD,"A large, upfront capital expense and low variable expenses",Increased speed for trying out new projects,Complete control over the physical security of the infrastructure,Flexibility to scale up in minutes as the application becomes popular,Ability to pick the specific data centers that will host the application servers,,,,,소매 회사는 새로운 모바일 앱을 구축하고 있습니다. 회사는 온-프레미스 데이터 센터 또는 AWS 클라우드에서 앱을 구축할지 여부를 평가하고 있습니다. 다음 중 AWS 클라우드 에서이 앱을 구축하면 어떤 이점이 있습니까? (2 개 선택.),크고 선불 자본 비용 및 낮은 가변 비용,새로운 프로젝트를 시도하기위한 속도 증가,인프라의 물리적 보안을 완전히 제어하십시오,응용 프로그램이 대중화되면 몇 분 안에 확장 할 수있는 유연성,애플리케이션 서버를 호스팅 할 특정 데이터 센터를 선택하는 기능,1,5
examtopics,CLF-01,263,"A developer is working on enhancing applications at AWS. The developer needs a service that can securely host GitHub-based code, repositories, and version controls.Which AWS service should the developer use?",C,C,AWS CodeStar,Amazon CodeGuru,AWS CodeCommit,AWS CodePipeline,,,,,,"개발자는 AWS에서 응용 프로그램 향상을 위해 노력하고 있습니다. 개발자는 GitHub 기반 코드, 저장소 및 버전 컨트롤을 안전하게 호스팅 할 수있는 서비스가 필요합니다. 개발자는 무엇을 사용해야합니까?",AWS CodeStar,아마존 코드,AWS CodeCommit,AWS CodePipeline,,0,4
examtopics,CLF-01,264,What is an AWS Region?,B,B,"A broad set of global, cloud-based products that include compute, storage, and databases",A physical location around the world where data centers are clustered,"One or more discrete data centers with redundant power, networking, and connectivity",A service that developers use to build applications that deliver latencies of single-digit milliseconds to users,,,,,,AWS 지역은 무엇입니까?,"컴퓨팅, 스토리지 및 데이터베이스를 포함하는 광범위한 글로벌 클라우드 기반 제품 세트",데이터 센터가 클러스터링되는 전 세계의 물리적 위치,"중복 전력, 네트워킹 및 연결성이있는 하나 이상의 개별 데이터 센터",개발자가 사용자에게 밀리 초의 대기 시간을 제공하는 응용 프로그램을 구축하는 데 사용하는 서비스,,0,4
examtopics,CLF-01,265,"Which AWS benefit enables users to deploy cloud infrastructure that consists of multiple geographic regions connected by a network with low latency, high throughput, and redundancy?",D,D,Economies of scale,Security,Elasticity,Global reach,,,,,,AWS 혜택은 지연 시간이 낮고 처리량이 적고 중복성이 낮은 네트워크로 연결된 여러 지역으로 구성된 클라우드 인프라를 배포 할 수있는 AWS의 혜택은 무엇입니까?,규모의 경제,보안,탄력,글로벌 도달 범위,,0,4
examtopics,CLF-01,266,A company is considering a migration from on premises to the AWS Cloud. The company's IT team needs to offload support of the workload.What should the IT team do to accomplish this goal?,A,A,"Use AWS Managed Services to provision, run, and support the company infrastructure.",Build hardware refreshes into the operational calendar to ensure availability.,Use Amazon Elastic Container Service (Amazon ECS) on Amazon EC2 instances.,Overprovision compute capacity for seasonal events and traffic spikes to prevent downtime.,,,,,,회사는 구내에서 AWS 클라우드로의 이주를 고려하고 있습니다. 회사의 IT 팀은 워크로드에 대한 지원을 오프로드해야합니다. IT 팀은이 목표를 달성하기 위해 무엇을해야합니까?,"AWS 관리 서비스를 사용하여 회사 인프라를 제공, 실행 및 지원합니다.",가용성을 보장하기 위해 작업 캘린더로 하드웨어 새로 고침을 구축하십시오.,Amazon EC2 인스턴스에서 Amazon Elastic Container Service (Amazon ECS)를 사용하십시오.,가동 중지 시간을 방지하기 위해 계절 이벤트 및 트래픽 스파이크에 대한 과잉 프로필 컴퓨팅 용량.,,0,4
examtopics,CLF-01,267,What is a benefit of using AWS serverless computing?,D,D,Application deployment and management are not required.,Application security will be fully managed by AWS.,Monitoring and logging are not needed.,Management of infrastructure is offloaded to AWS.,,,,,,AWS Serverless Computing을 사용하면 어떤 이점이 있습니까?,응용 프로그램 배포 및 관리가 필요하지 않습니다.,응용 프로그램 보안은 AWS가 완전히 관리합니다.,모니터링 및 로깅이 필요하지 않습니다.,인프라 관리는 AWS에 오프로드되었습니다.,,0,4
examtopics,CLF-01,268,A company plans to launch an application that will run in multiple locations within the United States. The company needs to identify the two AWS Regions where the application can operate at the lowest price.Which AWS service or feature should the company use to determine the Regions that offer the lowest price?,D,D,Cost Explorer,AWS Budgets,AWS Trusted Advisor,AWS Pricing Calculator,,,,,,회사는 미국 내 여러 지역에서 실행되는 응용 프로그램을 시작할 계획입니다. 회사는 애플리케이션이 최저 가격으로 운영 될 수있는 두 개의 AWS 지역을 식별해야합니다. 회사가 가장 낮은 가격을 제공하는 지역을 결정하기 위해 어떤 AWS 서비스 또는 기능을 사용해야합니까?,Cost Explorer,AWS Budgets,AWS Trusted Advisor,AWS 가격 계산기,,0,4
examtopics,CLF-01,269,Which approach will enhance a user's security on AWS?,D,D,Use Multi-AZ deployments with Amazon RDS.,Create a hybrid architecture by using AWS Direct Connect.,Monitor application-specific information with AWS X-Ray.,Encrypt data by using AWS Key Management Service (AWS KMS).,,,,,,AWS에 대한 사용자의 보안을 향상시키는 접근 방식은 무엇입니까?,Amazon RDS와 함께 멀티 AA 배포를 사용하십시오.,AWS Direct Connect를 사용하여 하이브리드 아키텍처를 만듭니다.,AWS X-ray로 응용 프로그램 별 정보를 모니터링하십시오.,AWS Key Management Service (AWS KMS)를 사용하여 데이터를 암호화합니다.,,0,4
examtopics,CLF-01,270,Which AWS service or tool is associated with an Amazon EC2 instance and acts as a virtual firewall to control inbound and outbound traffic?,D,D,AWS WAF,AWS Shield,Network access control list (ACL),Security group,,,,,,어떤 AWS 서비스 또는 도구가 Amazon EC2 인스턴스와 관련이 있으며 인바운드 및 아웃 바운드 트래픽을 제어하기위한 가상 방화벽 역할을합니까?,AWS WAF,AWS Shield,네트워크 액세스 제어 목록 (ACL),보안 그룹,,0,4
examtopics,CLF-01,271,"A company wants to migrate its on-premises Microsoft SQL Server database server to the AWS Cloud. The company has decided to use Amazon EC2 instances to run this database.Which of the following is the company responsible for managing, according to the AWS shared responsibility model?",B,B,EC2 hypervisor,Security patching of the guest operating system,Network connectivity of the host server,Uptime service level agreement (SLA) for the EC2 instances,,,,,,회사는 온 프레미스 Microsoft SQL Server 데이터베이스 서버를 AWS 클라우드로 마이그레이션하려고합니다. 이 회사는 AWS 공유 책임 모델에 따르면 Amazon EC2 인스턴스를 사용 하여이 데이터베이스를 실행하기로 결정했습니다.,EC2 하이퍼 바이저,게스트 운영 체제의 보안 패치,호스트 서버의 네트워크 연결,EC2 인스턴스의 가동 시간 서비스 수준 계약 (SLA),,0,4
examtopics,CLF-01,272,A developer wants to deploy an application on a container-based service. The service must automatically provision and manage the backend instances. The service must provision only the necessary resources.Which AWS service will meet these requirements?,CD,D,Amazon EC2,Amazon Lightsail,Amazon Elastic Kubernetes Service (Amazon EKS),AWS Fargate,,,,,,개발자는 컨테이너 기반 서비스에 응용 프로그램을 배포하려고합니다. 서비스는 백엔드 인스턴스를 자동으로 제공하고 관리해야합니다. 서비스는 필요한 자원 만 제공해야합니다. 어떤 AWS 서비스가 이러한 요구 사항을 충족합니까?,아마존 EC2,Amazon Lightsail,Amazon Elastic Kubernetes 서비스 (Amazon EKS),AWS Fargate,,0,4
examtopics,CLF-01,273,Which tasks require use of the AWS account root user? (Choose two.),AE,AE,Changing an AWS Support plan,Modifying an Amazon EC2 instance type,Grouping resources in AWS Systems Manager,Running applications in Amazon Elastic Kubernetes Service (Amazon EKS),Closing an AWS account,,,,,AWS 계정 루트 사용자를 사용해야하는 작업은 무엇입니까? (2 개 선택.),AWS 지원 계획 변경,Amazon EC2 인스턴스 유형 수정,AWS Systems Manager의 리소스 그룹,Amazon Elastic Kubernetes Service에서 응용 프로그램 실행 (Amazon EKS),AWS 계정 폐쇄,0,5
